fold,class,count
0,0,500
0,1,500
0,2,500
0,3,500
0,4,500
0,5,500
0,6,500
0,7,500
0,8,500
0,9,500
1,0,500
1,1,500
1,2,500
1,3,500
1,4,500
1,5,500
1,6,500
1,7,500
1,8,500
1,9,500
2,0,500
2,1,500
2,2,500
2,3,500
2,4,500
2,5,500
2,6,500
2,7,500
2,8,500
2,9,500
3,0,500
3,1,500
3,2,500
3,3,500
3,4,500
3,5,500
3,6,500
3,7,500
3,8,500
3,9,500
4,0,500
4,1,500
4,2,500
4,3,500
4,4,500
4,5,500
4,6,500
4,7,500
4,8,500
4,9,500
5,0,500
5,1,500
5,2,500
5,3,500
5,4,500
5,5,500
5,6,500
5,7,500
5,8,500
5,9,500
6,0,500
6,1,500
6,2,500
6,3,500
6,4,500
6,5,500
6,6,500
6,7,500
6,8,500
6,9,500
7,0,500
7,1,500
7,2,500
7,3,500
7,4,500
7,5,500
7,6,500
7,7,500
7,8,500
7,9,500
8,0,500
8,1,500
8,2,500
8,3,500
8,4,500
8,5,500
8,6,500
8,7,500
8,8,500
8,9,500
9,0,500
9,1,500
9,2,500
9,3,500
9,4,500
9,5,500
9,6,500
9,7,500
9,8,500
9,9,500
holdout,0,1000
holdout,1,1000
holdout,2,1000
holdout,3,1000
holdout,4,1000
holdout,5,1000
holdout,6,1000
holdout,7,1000
holdout,8,1000
holdout,9,1000
