fold,number,count
0,0,593
0,1,675
0,2,596
0,3,614
0,4,585
0,5,543
0,6,592
0,7,627
0,8,586
0,9,595
1,0,593
1,1,675
1,2,596
1,3,613
1,4,585
1,5,542
1,6,592
1,7,627
1,8,585
1,9,595
2,0,593
2,1,674
2,2,596
2,3,613
2,4,584
2,5,542
2,6,592
2,7,627
2,8,585
2,9,595
3,0,592
3,1,674
3,2,596
3,3,613
3,4,584
3,5,542
3,6,592
3,7,627
3,8,585
3,9,595
4,0,592
4,1,674
4,2,596
4,3,613
4,4,584
4,5,542
4,6,592
4,7,627
4,8,585
4,9,595
5,0,592
5,1,674
5,2,596
5,3,613
5,4,584
5,5,542
5,6,592
5,7,626
5,8,585
5,9,595
6,0,592
6,1,674
6,2,596
6,3,613
6,4,584
6,5,542
6,6,592
6,7,626
6,8,585
6,9,595
7,0,592
7,1,674
7,2,596
7,3,613
7,4,584
7,5,542
7,6,592
7,7,626
7,8,585
7,9,595
8,0,592
8,1,674
8,2,595
8,3,613
8,4,584
8,5,542
8,6,591
8,7,626
8,8,585
8,9,595
9,0,592
9,1,674
9,2,595
9,3,613
9,4,584
9,5,542
9,6,591
9,7,626
9,8,585
9,9,594
holdout,0,980
holdout,1,1135
holdout,2,1032
holdout,3,1010
holdout,4,982
holdout,5,892
holdout,6,958
holdout,7,1028
holdout,8,974
holdout,9,1009
